task_id,series,system_name,display_label,metric_source,feasible_utility,ndcg_at_k,action_validity,compliance_rate,constrained_regret,oracle_utility
CARA_LO_CHEMBL3888033_IC50_0059,Best QSAR,qsar_svm,QSAR linear SVR,final,89.60000000000001,0.9419061941054839,1.0,1.0,4.09999999999998,93.69999999999999
CARA_LO_CHEMBL3888094_IC50_0060,Best QSAR,qsar_svm,QSAR linear SVR,final,75.44000000000001,0.9692843572261246,1.0,1.0,2.4599999999999937,77.9
CARA_LO_CHEMBL3888209_IC50_0061,Best QSAR,qsar_svm,QSAR linear SVR,final,69.83,0.9287202746267018,1.0,1.0,5.030000000000015,74.86000000000001
CARA_LO_CHEMBL3888296_IC50_0062,Best QSAR,qsar_svm,QSAR linear SVR,final,92.88,0.9726222293908858,1.0,1.0,2.515000000000015,95.39500000000001
CARA_LO_CHEMBL3888825_IC50_0063,Best QSAR,qsar_svm,QSAR linear SVR,final,85.6,0.9541373027728645,1.0,1.0,3.8299999999999983,89.42999999999999
CARA_LO_CHEMBL3888867_IC50_0064,Best QSAR,qsar_svm,QSAR linear SVR,final,62.260000000000005,0.8984692682035339,1.0,1.0,5.489999999999995,67.75
CARA_LO_CHEMBL3888870_IC50_0065,Best QSAR,qsar_svm,QSAR linear SVR,final,85.44,0.9753430960409024,1.0,1.0,1.5,86.94
CARA_LO_CHEMBL3889097_IC50_0066,Best QSAR,qsar_svm,QSAR linear SVR,final,75.35,0.9126562124815095,1.0,1.0,6.990000000000009,82.34
CARA_LO_CHEMBL3889159_IC50_0067,Best QSAR,qsar_svm,QSAR linear SVR,final,85.55,0.915045965617969,1.0,1.0,8.059999999999988,93.60999999999999
CARA_LO_CHEMBL3889186_IC50_0068,Best QSAR,qsar_svm,QSAR linear SVR,final,86.08999999999999,0.9298707697103336,1.0,1.0,7.940000000000012,94.03
CARA_LO_CHEMBL3889262_IC50_0069,Best QSAR,qsar_svm,QSAR linear SVR,final,85.82,0.9755755000109717,1.0,1.0,2.430000000000021,88.25000000000001
CARA_LO_CHEMBL4388634_IC50_0070,Best QSAR,qsar_svm,QSAR linear SVR,final,41.5,0.9970175051413277,1.0,1.0,0.06000000000000938,41.56000000000001
